lane,lane_label,items_total,raw_decisions_count,unique_item_decisions_count,duplicate_key_count,completion_percent,input_exported_at,decisions_file_modified_at,observed_window_hours,observed_items_per_hour,assumed_minutes_per_item,assumed_hourly_rate_usd,estimated_review_hours,estimated_human_cost_usd,assumed_api_cost_per_item_usd,estimated_api_cost_usd,human_minus_api_cost_usd,time_assessment_note
claude,Claude,1200,1200,1200,0,100.0,2026-03-30T18:29:44.761619-07:00,2026-04-04T18:58:59.286164-07:00,120.487,9.96,3.0,35.0,60.0,2100.0,0.0,0.0,2100.0,"Observed window is derived from shared input export mtime to decisions file mtime; decision-level timestamps are not currently recorded, so this is only a coarse bound."
codex,Codex,1200,1200,1200,0,100.0,2026-03-30T18:29:44.761619-07:00,2026-04-04T17:40:48.668934-07:00,119.184,10.068,3.0,35.0,60.0,2100.0,0.0,0.0,2100.0,"Observed window is derived from shared input export mtime to decisions file mtime; decision-level timestamps are not currently recorded, so this is only a coarse bound."
